rank,1,2,3,4,5,word
1,w,h,i,c,h,which
2,f,i,r,s,t,first
3,k,n,o,w,n,known
4,a,f,t,e,r,after
5,t,h,e,i,r,their
6,w,o,r,l,d,world
7,s,t,a,t,e,state
8,s,o,u,t,h,south
9,a,l,b,u,m,album
10,o,t,h,e,r,other
11,n,o,r,t,h,north
12,y,e,a,r,s,years
13,w,h,e,r,e,where
14,t,h,r,e,e,three
15,m,u,s,i,c,music
16,r,i,v,e,r,river
17,s,i,n,c,e,since
18,t,h,e,r,e,there
19,m,a,r,c,h,march
20,a,b,o,u,t,about
21,h,o,u,s,e,house
22,u,n,d,e,r,under
23,l,a,t,e,r,later
24,g,r,o,u,p,group
25,a,p,r,i,l,april
26,u,n,t,i,l,until
27,f,o,u,n,d,found
28,b,a,s,e,d,based
29,p,a,r,t,y,party
30,b,e,i,n,g,being
31,n,a,m,e,d,named
32,g,a,m,e,s,games
33,w,h,i,l,e,while
34,e,a,r,l,y,early
35,b,u,i,l,t,built
36,p,l,a,c,e,place
37,t,h,e,s,e,these
38,m,a,j,o,r,major
39,s,m,a,l,l,small
40,a,w,a,r,d,award
41,w,o,u,l,d,would
42,f,i,n,a,l,final
43,l,o,c,a,l,local
44,t,i,t,l,e,title
45,t,h,i,r,d,third
46,i,n,d,i,a,india
47,u,n,i,o,n,union
48,a,l,o,n,g,along
49,g,e,n,u,s,genus
50,j,a,m,e,s,james
51,r,a,d,i,o,radio
52,b,e,g,a,n,began
53,d,e,a,t,h,death
54,e,v,e,n,t,event
55,o,f,t,e,n,often
56,p,l,a,y,s,plays
57,r,o,y,a,l,royal
58,l,a,r,g,e,large
59,g,r,e,a,t,great
60,r,u,r,a,l,rural
61,t,i,m,e,s,times
62,f,i,e,l,d,field
63,a,m,o,n,g,among
64,c,o,a,c,h,coach
65,w,o,r,k,s,works
66,o,r,d,e,r,order
67,d,a,v,i,d,david
68,w,a,t,e,r,water
69,c,o,u,r,t,court
70,d,e,b,u,t,debut
71,j,a,p,a,n,japan
72,m,i,l,e,s,miles
73,w,h,i,t,e,white
74,b,l,a,c,k,black
75,c,h,i,n,a,china
76,t,o,t,a,l,total
77,p,o,w,e,r,power
78,a,c,t,o,r,actor
79,r,o,u,t,e,route
80,c,i,v,i,l,civil
81,g,i,v,e,n,given
82,f,i,l,m,s,films
