rank,1,2,3,4,5,word
1,s,e,r,i,a,seria
2,a,i,r,e,s,aires
3,r,a,i,s,e,raise
4,a,r,i,s,e,arise
5,a,r,i,e,s,aries
6,s,i,e,n,a,siena
7,a,i,s,n,e,aisne
8,a,n,i,s,e,anise
9,a,r,n,i,e,arnie
10,e,i,n,a,r,einar
11,r,a,i,n,e,raine
12,r,e,i,n,a,reina
13,i,r,e,n,a,irena
14,e,r,i,n,a,erina
15,e,l,i,a,s,elias
16,e,l,i,s,a,elisa
17,a,i,s,l,e,aisle
18,a,l,e,s,i,alesi
19,a,r,o,s,e,arose
20,r,o,s,e,a,rosea
21,a,e,r,o,s,aeros
22,i,e,u,a,n,ieuan
23,e,a,s,o,n,eason
24,s,a,t,i,e,satie
25,s,e,t,i,a,setia
26,a,r,i,e,l,ariel
27,s,o,r,i,a,soria
28,s,a,o,r,i,saori
29,a,l,i,e,n,alien
30,l,a,i,n,e,laine
31,a,l,i,n,e,aline
32,e,l,i,n,a,elina
33,l,i,n,e,a,linea
34,l,i,a,n,e,liane
35,e,n,l,a,i,enlai
36,s,o,n,i,a,sonia
37,r,o,a,n,e,roane
38,a,r,t,i,e,artie
39,t,e,r,a,i,terai
40,t,i,n,e,a,tinea
41,e,i,t,a,n,eitan
42,r,a,i,o,n,raion
43,a,r,i,o,n,arion
44,a,s,i,d,e,aside
45,s,a,d,i,e,sadie
46,i,d,e,a,s,ideas
47,d,e,s,a,i,desai
48,a,i,d,e,s,aides
49,l,a,o,i,s,laois
50,a,l,o,i,s,alois
51,a,l,i,s,o,aliso
52,i,s,o,l,a,isola
53,o,a,t,e,s,oates
54,s,e,k,a,i,sekai
55,s,a,e,k,i,saeki
56,m,a,r,i,e,marie
57,m,a,i,e,r,maier
58,m,a,i,r,e,maire
59,m,e,i,r,a,meira
60,a,l,o,n,e,alone
61,l,e,o,n,a,leona
62,o,l,e,n,a,olena
63,a,n,o,l,e,anole
64,o,l,e,a,n,olean
65,e,n,o,l,a,enola
66,e,i,l,a,t,eilat
67,t,e,l,i,a,telia
68,m,a,i,n,e,maine
69,a,n,i,m,e,anime
70,a,m,i,n,e,amine
71,m,e,n,a,i,menai
72,n,a,m,i,e,namie
73,o,s,t,i,a,ostia
74,s,a,i,t,o,saito
75,e,r,i,c,a,erica
76,a,i,r,e,d,aired
77,d,e,i,r,a,deira
78,b,a,s,i,e,basie
79,a,b,i,e,s,abies
80,o,r,e,t,a,oreta
81,e,r,a,t,o,erato
82,k,e,i,r,a,keira
83,e,r,i,k,a,erika
84,s,e,r,n,a,serna
85,s,n,a,r,e,snare
86,n,a,s,e,r,naser
87,a,r,s,e,n,arsen
88,n,a,r,e,s,nares
89,r,n,a,s,e,rnase
90,r,a,s,e,n,rasen
91,e,a,r,n,s,earns
92,s,e,i,y,a,seiya
93,c,a,i,n,e,caine
94,s,e,p,i,a,sepia
95,s,a,u,e,r,sauer
96,u,r,s,a,e,ursae
97,a,e,g,i,s,aegis
98,e,d,i,n,a,edina
99,n,a,d,i,e,nadie
100,d,a,n,i,e,danie
101,d,i,a,n,e,diane
102,a,i,d,e,n,aiden
103,i,l,o,n,a,ilona
104,h,e,i,a,n,heian
105,e,a,t,o,n,eaton
106,a,i,k,e,n,aiken
107,k,e,n,a,i,kenai
108,k,a,i,n,e,kaine
109,r,a,t,i,o,ratio
110,a,i,t,o,r,aitor
111,o,i,r,a,t,oirat
112,a,u,d,i,e,audie
113,a,d,i,e,u,adieu
114,s,a,r,i,n,sarin
115,r,a,i,n,s,rains
116,n,a,s,i,r,nasir
117,n,i,s,a,r,nisar
118,b,e,i,r,a,beira
119,e,i,b,a,r,eibar
120,b,a,i,e,r,baier
121,m,e,l,i,a,melia
122,o,d,e,s,a,odesa
123,a,m,i,e,l,amiel
124,e,m,a,i,l,email
125,h,o,s,e,a,hosea
126,o,a,k,e,s,oakes
127,a,r,i,u,s,arius
128,a,i,r,e,y,airey
129,n,a,i,t,o,naito
130,o,t,a,n,i,otani
131,a,i,t,o,n,aiton
132,p,e,r,a,i,perai
133,m,o,r,e,a,morea
134,l,a,s,e,r,laser
135,a,r,l,e,s,arles
136,a,m,o,r,e,amore
137,l,a,r,e,s,lares
138,e,a,r,l,s,earls
139,r,e,a,l,s,reals
140,r,e,g,i,a,regia
141,b,a,n,i,e,banie
142,a,l,i,c,e,alice
143,c,e,l,i,a,celia
144,l,e,i,c,a,leica
145,u,s,a,i,n,usain
146,d,e,l,i,a,delia
147,i,d,e,a,l,ideal
148,c,a,s,i,o,casio
149,h,a,i,l,e,haile
150,e,l,a,h,i,elahi
151,a,l,i,k,e,alike
152,p,a,i,n,e,paine
153,a,d,i,o,s,adios
154,l,a,n,e,s,lanes
155,e,a,m,o,n,eamon
156,a,n,s,e,l,ansel
157,l,e,a,n,s,leans
158,s,l,a,n,e,slane
159,h,s,i,a,o,hsiao
160,m,a,t,e,i,matei
161,a,n,g,i,e,angie
162,c,o,r,e,a,corea
163,s,o,i,k,a,soika
164,a,d,o,r,e,adore
165,h,o,a,r,e,hoare
166,k,o,r,e,a,korea
167,m,a,r,i,o,mario
168,m,o,i,r,a,moira
169,m,a,i,o,r,maior
170,r,a,i,m,o,raimo
171,m,o,r,i,a,moria
172,r,a,i,l,s,rails
173,m,a,o,r,i,maori
174,l,i,a,r,s,liars
175,o,m,a,r,i,omari
176,r,a,t,e,s,rates
177,t,e,a,r,s,tears
178,a,s,t,e,r,aster
179,s,t,a,r,e,stare
180,a,r,t,e,s,artes
181,s,e,t,a,r,setar
182,a,e,r,t,s,aerts
183,a,u,g,i,e,augie
184,c,a,n,o,e,canoe
185,p,a,s,e,o,paseo
186,o,c,e,a,n,ocean
187,a,e,s,o,p,aesop
188,a,i,c,t,e,aicte
189,o,s,a,g,e,osage
190,a,n,o,d,e,anode
191,d,o,a,n,e,doane
192,e,d,i,t,a,edita
193,i,t,a,l,o,italo
194,a,m,i,n,o,amino
195,n,a,o,m,i,naomi
196,s,n,a,i,l,snail
197,n,a,i,l,s,nails
198,s,l,a,i,n,slain
199,o,m,a,n,i,omani
200,o,m,n,i,a,omnia
201,n,u,r,i,a,nuria
202,k,a,t,i,e,katie
203,k,e,i,t,a,keita
204,t,a,k,e,i,takei
